DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
18K633,4,10,1,90,19,2,28,85,95,87,84,4,80,3,6,1,High School for Medical Professions,2017-18,424,294,130,16,328,63,1,2,9,18,402.8,70.4
18K635,5,8,1,126,16,6,77,72,99,42,23,0,23,19,28,25,Olympus Academy,2017-18,206,100,106,2,183,12,2,3,4,5,165,72
18K637,4,16,1,49,9,2,33,28,57,47,41,0,41,6,0,9,Academy for Conservation and the Environment,2017-18,285,105,180,17,216,25,1,6,20,33,243,80.8
18K642,4,13,0,84,21,1,62,46,14,10,1,0,1,9,3,1,Urban Action Academy,2017-18,278,107,171,5,215,33,0,2,22,59,218,79.9
18K673,1,12,1,130,19,0,62,88,93,25,16,0,16,9,52,16,East Brooklyn Community High School,2017-18,192,83,109,2,146,31,0,2,11,14,144,76
19K409,6,26,7,268,136,3,179,240,7,3,0,0,0,3,2,1,East New York Family Academy,2017-18,496,246,250,16,312,155,0,7,4,19,433,81.6
19K502,4,28,1,153,52,0,142,68,40,29,29,0,29,0,5,6,FDNY - Captain Vernon A. Richard High School for F,2017-18,333,81,252,2,239,79,0,4,3,12,283,86.4
19K504,11,22,0,146,44,2,99,96,71,46,28,0,28,18,9,13,High School for Civil Rights,2017-18,264,107,157,2,192,63,0,5,2,23,224,88.5
19K507,11,11,0,148,37,1,61,131,51,43,42,3,39,1,3,3,Performing Arts and Technology High School,2017-18,450,260,190,9,298,133,0,4,3,62,412,86.2
19K510,8,12,5,155,38,4,52,162,7,3,0,0,0,3,3,1,World Academy for Total Community Health High Scho,2017-18,262,143,119,11,191,52,0,5,2,31,243,86.4
19K583,45,2,0,6,61,0,33,34,103,49,49,0,49,0,3,51,Multicultural High School,2017-18,243,127,116,0,1,241,0,0,1,223,224,95
19K615,24,223,66,1097,477,20,1341,352,197,156,151,1,150,5,27,14,Transit Tech Career and Technical Education High S,2017-18,713,114,599,22,434,220,3,14,17,36,553,79.4
19K618,15,15,7,33,47,7,59,37,49,34,33,5,28,1,11,4,Academy of Innovative Technology,2017-18,403,68,335,21,167,193,1,5,9,41,349,78.8
19K639,5,19,6,38,56,1,55,49,62,34,27,2,25,7,11,16,Brooklyn Lab School,2017-18,384,173,211,55,111,194,1,6,16,114,343,89.7
19K659,14,7,20,19,73,7,57,72,15,14,12,1,11,2,1,0,Cypress Hills Collegiate Preparatory School,2017-18,251,99,152,33,51,153,1,4,9,56,219,84.7
19K660,35,242,22,961,444,20,467,1000,136,85,76,6,70,9,20,29,W. H. Maxwell Career and Technical Education High,2017-18,407,273,134,10,272,114,1,2,5,37,364,89.2
19K683,18,23,20,79,67,0,76,90,16,9,5,0,5,4,3,4,School for Classics High School,2017-18,287,164,123,34,139,95,2,3,13,65,256,87.5
20K445,480,350,783,303,858,1081,1649,1418,223,177,164,38,126,13,30,13,New Utrecht High School,2017-18,3563,1537,2026,1432,113,1062,6,10,909,750,2874,80.5
20K485,30,172,173,202,590,212,628,579,131,91,72,32,40,19,11,24,High School of Telecommunication Arts and Technolo,2017-18,1278,546,730,264,100,635,2,3,244,96,987,76.1
20K490,798,401,1281,235,1464,1441,2532,2006,162,33,27,7,20,6,65,59,Fort Hamilton High School,2017-18,4582,2190,2391,1242,174,1430,8,9,1645,676,3350,73.4
20K505,1024,358,1286,307,1245,756,1983,1669,855,411,336,147,189,75,208,225,Franklin Delano Roosevelt High School,2017-18,3061,1293,1768,1175,342,991,9,11,533,1021,2547,87.7
20K609,37,47,99,102,65,28,,295,7,6,4,0,4,2,0,1,Urban Assembly School for Leadership and Empowerme,2017-18,556,556,0,265,91,102,7,2,88,83,526,86.1
21K337,50,,17,22,19,13,41,31,67,35,29,0,29,6,12,19,International High School at Lafayette,2017-18,337,114,223,121,16,110,1,2,87,291,319,95
21K344,53,77,59,116,124,181,258,223,92,66,65,17,48,1,20,5,Rachel Carson High School for Coastal Studies,2017-18,639,285,354,97,110,139,2,2,283,92,439,75.6
21K348,1,14,4,96,34,16,127,34,10,4,3,0,3,1,1,2,High School of Sports Management,2017-18,242,37,204,16,115,69,1,6,31,27,195,81
21K410,267,306,362,982,595,807,1576,1219,564,264,209,14,195,55,176,112,Abraham Lincoln High School,2017-18,1998,770,1228,314,806,453,6,11,399,376,1588,82.5
21K468,9,42,22,94,63,146,179,148,10,9,6,0,6,3,1,0,Kingsborough Early College School,2017-18,657,310,346,49,158,192,4,2,244,10,475,65.2
21K525,319,352,852,1083,588,1350,1543,2442,657,555,534,142,392,21,60,15,Edward R. Murrow High School,2017-18,3789,2207,1581,954,863,790,13,14,1041,322,2690,67.6
21K540,452,286,1026,956,617,626,1550,1744,402,323,303,55,248,20,55,23,John Dewey High School,2017-18,2309,1129,1177,750,747,498,5,15,262,402,1944,80.6
21K559,4,3,0,24,23,6,24,29,38,34,34,0,34,0,2,2,Life Academy High School for Film and Music,2017-18,303,156,147,36,110,103,3,4,46,21,235,77.1
21K572,12,10,7,12,19,9,29,19,46,36,35,0,35,1,0,8,Leaders High School,2017-18,347,159,188,62,63,119,2,6,88,69,288,80.4
21K620,39,296,52,1168,308,102,1321,338,324,175,83,15,68,92,16,121,William E. Grady Career and Technical Education Hi,2017-18,458,97,361,23,277,105,3,4,42,36,412,77.8
21K690,36,195,72,119,120,474,416,379,33,16,8,0,8,8,4,5,Brooklyn Studio Secondary School,2017-18,942,473,469,202,33,275,2,2,420,150,730,75.3
21K728,3,21,5,84,52,24,99,66,86,33,27,0,27,6,13,40,Liberation Diploma Plus,2017-18,225,99,126,4,117,82,0,1,21,9,200,86.7
22K405,127,154,845,1512,314,987,1711,2062,18,6,6,2,4,0,6,5,Midwood High School,2017-18,4058,2284,1774,1447,1107,509,12,14,894,130,3057,65.9
22K425,314,336,655,955,527,2000,2304,1919,441,343,275,130,145,68,3,93,James Madison High School,2017-18,3657,1563,2094,723,619,638,11,21,1633,511,2830,66.3
22K535,11,87,97,201,99,498,499,471,15,14,10,1,9,4,1,0,Leon M. Goldstein High School for the Sciences,2017-18,1011,544,466,242,82,97,3,7,577,5,518,43.6
22K555,2,8,10,449,48,30,181,375,8,8,8,3,5,0,0,0,Brooklyn College Academy,2017-18,622,397,223,61,420,72,0,3,26,5,439,56.1
23K493,4,18,6,241,40,2,133,165,82,54,47,1,46,7,23,4,Brooklyn Collegiate: A College Board School,2017-18,271,115,156,3,228,34,0,4,2,18,257,81
23K514,4,17,1,158,36,2,90,126,5,5,4,0,4,1,0,0,Frederick Douglass Academy VII High School,2017-18,157,67,90,3,132,19,0,2,0,7,146,87.5
23K643,3,14,1,134,14,1,70,81,15,4,1,0,1,3,7,3,Brooklyn Democracy Academy,2017-18,230,98,132,3,185,37,0,3,2,6,195,85
23K644,10,81,0,295,38,2,336,0,72,47,43,4,39,4,25,0,Eagle Academy for Young Men II,2017-18,647,0,647,4,574,54,0,6,4,4,532,74.6
23K647,2,25,0,136,23,1,69,91,12,6,6,0,6,0,3,3,Metropolitan Diploma Plus High School,2017-18,217,100,117,1,188,24,1,2,1,4,202,86.9
23K697,4,51,2,493,66,5,225,350,61,43,40,2,38,3,9,6,Teachers Preparatory High School,2017-18,250,137,113,5,189,44,0,2,10,17,224,88.5
24Q264,18,7,19,14,54,9,44,64,9,7,7,1,6,0,0,2,Academy of Finance and Enterprise,2017-18,598,301,297,153,25,308,1,7,88,26,493,69.6
24Q267,19,15,22,18,51,18,52,61,92,73,58,6,52,15,6,12,High School of Applied Communication,2017-18,417,230,187,48,37,253,6,1,63,30,327,66.9
24Q293,16,15,9,13,91,8,64,57,6,6,6,2,4,0,0,0,Civic Leadership Academy,2017-18,529,278,249,66,34,351,1,0,33,31,411,75.3
24Q296,161,,1,0,171,0,87,85,68,41,40,0,40,1,17,10,Pan American International High School,2017-18,449,213,236,0,0,448,0,1,0,385,408,95
24Q299,,,62,50,58,54,92,165,50,49,49,0,49,0,0,0,Bard High School Early College Queens,2017-18,623,392,231,211,67,117,13,2,212,0,259,38.8
24Q455,1095,373,986,349,2536,197,2284,1854,967,433,277,139,138,156,325,199,Newtown High School,2017-18,1921,751,1170,509,143,1118,2,24,108,428,1565,80.1
24Q485,548,295,207,129,1891,770,1629,1429,602,307,291,32,259,16,203,77,Grover Cleveland High School,2017-18,1775,771,1004,173,98,1131,2,13,336,329,1302,76.8
24Q520,6,51,42,63,294,56,219,238,66,46,45,0,45,1,14,6,Middle College High School at LaGuardia Community,2017-18,510,251,259,47,13,396,1,4,49,6,362,74.1
24Q530,228,,158,11,237,63,221,254,107,105,105,0,105,0,2,0,International High School at LaGuardia Community C,2017-18,527,284,243,140,12,307,1,1,63,320,374,88.3
24Q550,126,67,45,55,645,34,364,432,14,10,7,0,7,3,1,3,High School for Arts and Business,2017-18,812,457,355,70,64,620,1,5,44,77,589,75.6
24Q560,13,39,57,87,258,87,222,281,21,11,2,0,2,9,3,5,"Robert F. Wagner, Jr. Secondary School for Arts an",2017-18,665,302,363,158,29,367,3,0,102,33,516,63.5
24Q585,13,20,49,12,114,72,116,132,237,235,234,102,132,1,1,1,Maspeth High School,2017-18,1196,608,588,211,16,515,0,5,382,21,772,53.7
24Q600,64,202,95,173,741,166,720,490,29,16,6,5,1,10,1,10,Queens Technical High School,2017-18,1546,581,965,173,74,1208,1,1,89,114,1324,76.6
24Q610,78,102,380,163,973,241,1626,237,370,359,350,182,168,9,4,5,Aviation Career & Technical Education High School,2017-18,2084,438,1646,762,91,938,2,18,206,62,1346,68.3
24Q744,13,3,12,43,83,11,85,66,91,14,8,0,8,6,63,11,VOYAGES Preparatory,2017-18,271,102,169,23,42,188,0,2,16,9,209,71.2
25Q252,18,61,187,84,130,88,225,268,14,13,13,6,7,0,1,0,"Queens School of Inquiry, The",2017-18,576,287,289,235,93,139,2,1,98,27,353,56.2
25Q263,354,6,220,4,168,8,221,179,53,31,28,0,28,3,11,11,Flushing International High School,2017-18,442,207,235,210,4,206,0,5,17,367,409,95
25Q281,86,49,339,101,117,23,317,265,74,66,64,11,53,2,5,3,East-West School of International Studies,2017-18,649,297,352,437,54,122,2,3,30,40,562,69.8
25Q285,3,83,82,40,129,194,183,262,28,25,22,1,21,3,3,0,World Journalism Preparatory: A College Board Scho,2017-18,567,343,224,85,21,202,4,1,248,9,323,44.2
25Q425,879,375,1150,708,1420,179,1734,1737,632,418,274,59,215,144,31,167,John Bowne High School,2017-18,3601,1779,1822,1053,670,1602,6,33,192,608,2775,76.2
25Q460,624,363,618,825,1551,101,1737,1376,689,459,437,83,354,22,61,154,Flushing High School,2017-18,1692,764,928,285,345,973,5,19,50,385,1292,78.6
25Q525,,4,571,66,133,307,335,773,304,304,304,301,3,0,0,0,Townsend Harris High School,2017-18,1141,801,340,662,59,123,14,12,231,0,632,38.9
25Q540,26,36,64,171,145,22,240,164,152,12,9,0,9,3,113,25,Queens Academy High School,2017-18,371,139,232,41,141,158,0,13,18,20,255,69.6
25Q670,48,111,208,84,250,196,395,344,33,28,25,5,20,3,2,3,Robert F. Kennedy Community High School,2017-18,756,344,412,273,96,264,1,5,101,88,612,70.3
25Q792,2,21,17,86,78,18,107,93,23,10,1,0,1,9,3,10,North Queens Community High School,2017-18,207,94,113,18,87,78,1,3,20,11,152,69.4
26Q415,240,448,1788,718,727,657,1853,2059,854,807,782,350,432,25,14,30,Benjamin N. Cardozo High School,2017-18,3699,1939,1759,1555,814,751,18,28,502,164,2488,51
26Q430,541,453,2171,351,1013,666,2061,2150,202,191,186,106,80,5,5,6,Francis Lewis High School,2017-18,4557,2249,2307,2575,279,953,10,22,718,459,3344,59.6
26Q435,202,288,577,1506,380,61,1372,1170,611,409,383,26,357,26,20,162,Martin Van Buren High School,2017-18,1174,526,647,350,516,199,1,57,45,145,916,67.6
26Q495,290,178,1465,686,635,745,1759,1864,268,214,202,157,45,13,37,15,Bayside High School,2017-18,3024,1440,1584,1295,352,801,12,14,528,221,2247,53.4
26Q566,12,94,265,268,125,193,413,501,44,39,10,1,9,29,3,2,"Queens High School of Teaching, Liberal Arts and t",2017-18,1073,524,549,222,592,154,5,22,71,29,602,41.2
27Q260,2,7,14,130,29,1,89,98,76,60,35,0,35,25,3,11,Frederick Douglass Academy VI High School,2017-18,349,176,173,7,184,148,2,3,4,65,279,88.5
27Q262,5,30,18,286,111,30,197,262,108,99,93,3,90,6,3,6,Channel View School for Research,2017-18,888,474,414,77,381,305,6,12,107,18,654,64.9
27Q302,6,7,1,34,11,3,31,24,45,32,27,2,25,5,1,12,"Queens High School for Information, Research, and",2017-18,443,150,293,29,171,225,1,7,9,118,329,84.9
27Q308,11,22,23,8,59,45,58,77,23,16,7,0,7,9,0,5,Robert H. Goddard High School of Communication Art,2017-18,621,324,297,163,52,238,0,18,137,22,470,57.2
27Q309,10,11,16,61,32,3,47,68,65,42,41,1,40,1,21,2,Academy of Medical Technology: A College Board Sch,2017-18,639,314,325,40,276,279,2,15,25,110,511,80.8
27Q323,1,5,112,122,73,290,289,313,118,117,117,114,3,0,0,1,Scholars' Academy,2017-18,1376,789,587,270,231,274,9,14,578,1,662,34.6
27Q324,16,38,8,103,58,31,121,82,90,58,48,1,47,10,14,18,Rockaway Park High School for Environmental Sustai,2017-18,303,128,175,13,141,103,2,4,29,26,271,79.9
27Q351,8,23,6,52,28,4,53,45,62,44,38,0,38,6,2,16,Rockaway Collegiate High School,2017-18,329,159,170,18,172,108,0,4,17,32,264,78.1
27Q400,52,195,82,1094,158,22,770,596,39,2,0,0,0,2,8,20,August Martin High School,2017-18,334,142,192,34,229,45,3,16,4,27,288,76.6
27Q475,538,376,1171,482,1716,183,1863,1756,139,78,35,4,31,43,7,48,Richmond Hill High School,2017-18,1681,769,912,533,204,788,2,75,69,415,1362,79.3
27Q480,227,355,969,911,1092,259,1819,1539,130,61,54,1,53,7,29,38,John Adams High School,2017-18,2281,1015,1266,776,523,775,16,117,68,386,1854,77.6
27Q650,5,8,54,26,78,21,148,48,208,203,203,48,155,0,0,5,"High School for Construction Trades, Engineering a",2017-18,1027,344,683,322,102,351,3,33,128,23,630,54.6
28Q284,,26,62,228,31,3,170,158,33,33,33,12,21,0,0,0,York Early College Academy,2017-18,646,362,284,181,327,53,2,55,10,7,481,51.8
28Q310,2,16,30,39,14,3,52,35,88,69,69,9,60,0,18,1,Queens Collegiate: A College Board School,2017-18,671,326,345,187,313,107,2,42,11,51,590,68.6
28Q325,11,11,26,45,15,4,45,48,13,6,6,0,6,0,6,1,Hillside Arts & Letters Academy,2017-18,467,257,210,106,193,128,3,22,7,64,381,71.6
28Q328,10,9,15,41,20,5,41,41,74,68,68,12,56,0,0,4,High School for Community Leadership,2017-18,469,229,240,110,163,129,0,23,25,72,387,70.6
28Q338,5,16,1,161,55,8,124,143,135,32,24,0,24,8,18,83,Queens Satellite High School for Opportunity,2017-18,208,103,105,17,116,38,0,23,14,8,187,75.1
28Q350,10,16,101,82,34,6,104,120,7,5,5,1,4,0,1,1,Jamaica Gateway to the Sciences,2017-18,511,268,243,200,186,67,3,15,13,58,386,67.7
28Q440,381,257,819,396,942,1420,1813,1876,98,74,45,6,39,29,3,17,Forest Hills High School,2017-18,3783,1966,1814,900,307,1313,15,30,1122,291,2800,58.6
28Q505,349,253,829,1616,718,87,1380,1949,161,79,44,5,39,35,38,43,Hillcrest High School,2017-18,3367,1757,1610,1010,975,1126,3,130,122,547,2804,73.8
28Q620,41,270,1145,580,527,82,1557,795,423,379,367,162,205,12,37,5,Thomas A. Edison Career and Technical Education Hi,2017-18,2133,747,1386,1003,406,498,5,116,94,51,1733,61.2
28Q680,1,,193,283,90,15,216,380,67,65,65,41,24,0,0,1,Queens Gateway to Health Sciences Secondary School,2017-18,690,377,312,349,187,67,2,41,29,9,436,55.5
28Q686,8,60,72,28,138,173,200,211,301,288,285,80,205,3,0,12,Queens Metropolitan High School,2017-18,1091,516,575,108,36,490,6,4,447,34,673,47.8
28Q687,2,1,195,74,38,38,190,186,98,96,96,91,5,0,2,0,Queens High School for the Sciences at York Colleg,2017-18,473,209,264,383,20,20,1,3,28,0,305,47.7
28Q690,2,49,21,442,97,15,256,338,19,12,12,0,12,0,4,3,High School for Law Enforcement and Public Safety,2017-18,498,229,269,50,305,113,0,13,11,28,365,72
28Q896,2,17,42,206,48,2,,301,46,45,41,7,34,4,1,0,"Young Women''s Leadership School, Queens",2017-18,563,563,0,206,247,66,3,15,13,8,446,61.2
29Q248,10,41,13,307,28,4,186,172,81,62,59,9,50,3,3,15,Queens Preparatory Academy,2017-18,415,202,213,14,344,39,0,3,4,38,332,65.9
29Q259,1,8,10,109,11,2,70,76,85,57,48,8,40,9,26,1,Pathways College Preparatory School: A College Boa,2017-18,583,289,294,33,499,29,5,7,7,22,437,50.8
29Q265,4,19,7,162,17,4,96,116,5,4,4,0,4,0,0,1,Excelsior Preparatory High School,2017-18,483,209,274,13,391,43,1,7,9,28,341,58.4
29Q272,15,21,26,208,53,8,161,143,120,114,113,23,90,1,2,4,George Washington Carver High School for the Scien,2017-18,468,249,219,25,349,74,0,10,3,31,344,67.2
29Q283,2,4,1,87,12,1,49,56,40,30,19,0,19,11,5,5,Preparatory Academy for Writers: A College Board S,2017-18,588,317,271,15,520,31,1,9,4,9,410,54.3
29Q326,3,11,2,62,10,1,43,35,20,13,4,0,4,9,6,0,Cambria Heights Academy,2017-18,353,175,178,32,262,26,3,10,6,21,262,57.9
29Q492,15,44,68,397,41,10,329,213,102,82,60,22,38,22,3,17,"Mathematics, Science Research and Technology Magne",2017-18,415,153,262,57,277,55,0,12,7,31,320,68.4
29Q498,11,40,16,431,44,7,240,263,41,27,12,0,12,15,6,6,Humanities & Arts Magnet High School,2017-18,454,250,204,21,354,62,1,9,7,45,382,67.7
30Q286,20,15,93,18,151,71,,335,5,4,4,1,3,0,0,0,"Young Women''s Leadership School, Astoria",2017-18,565,565,0,196,41,223,1,4,100,24,486,72.3
30Q301,2,17,8,26,62,23,60,64,90,88,83,19,64,5,0,2,Academy for Careers in Television and Film,2017-18,565,290,275,33,69,309,3,3,115,11,291,53.5
30Q445,774,321,941,337,1674,531,1891,1625,377,287,270,71,199,17,53,34,William Cullen Bryant High School,2017-18,2394,1074,1320,631,161,1194,10,20,357,402,2051,79.7
30Q450,436,429,626,569,2074,526,1993,1831,375,231,212,20,192,19,18,101,Long Island City High School,2017-18,2256,1182,1074,342,235,1485,7,15,147,264,1821,80.2
30Q501,4,13,33,103,134,220,178,391,73,65,57,0,57,8,8,0,Frank Sinatra School of the Arts High School,2017-18,831,565,266,89,123,291,9,6,302,4,345,40.1
30Q502,92,57,106,135,364,92,411,313,193,154,149,15,134,5,21,17,Information Technology High School,2017-18,1007,220,787,196,118,594,3,10,86,81,860,78.3
30Q555,778,,311,26,656,86,546,534,136,127,127,45,82,0,4,4,Newcomers High School,2017-18,911,412,499,270,9,570,0,6,56,723,837,95
30Q575,25,35,176,66,180,147,267,341,83,77,70,25,45,7,0,6,Academy of American Studies,2017-18,1038,600,438,256,51,357,5,0,369,31,720,55.2
30Q580,3,,94,72,109,125,165,245,58,58,58,8,50,0,0,0,Baccalaureate School for Global Education,2017-18,540,316,224,249,20,92,23,2,154,6,237,39.6
31R047,,10,11,19,17,65,50,64,126,126,115,32,83,11,0,0,CSI High School for International Studies,2017-18,495,306,187,71,39,97,6,4,278,1,244,35.6
31R064,5,34,6,33,28,65,61,73,59,56,51,10,41,5,0,2,Gaynor McCown Expeditionary Learning School,2017-18,439,240,197,12,34,97,9,1,286,2,202,34.9
31R080,17,107,90,198,186,754,638,595,102,95,95,27,68,0,5,1,The Michael J. Petrides School,2017-18,1313,617,696,114,278,311,10,3,561,18,633,45.3
31R440,127,383,166,473,502,1302,1251,1235,34,12,6,0,6,6,8,10,New Dorp High School,2017-18,3045,1477,1567,275,319,843,24,10,1545,134,1846,54.6
31R445,117,349,184,690,724,894,1311,1272,247,172,157,33,124,15,4,51,Port Richmond High School,2017-18,1549,742,807,114,353,682,17,11,372,123,1158,71.3
31R450,133,350,170,906,734,888,1317,1390,95,67,26,2,24,41,6,20,Curtis High School,2017-18,2587,1437,1150,166,934,1051,16,16,387,206,1996,73.5
31R455,63,375,257,97,324,3123,1939,1931,986,825,725,307,418,100,81,66,Tottenville High School,2017-18,3808,1909,1898,213,60,453,9,11,3020,47,1417,32.1
31R460,90,502,408,377,579,1682,1612,1544,305,224,151,58,93,75,9,55,Susan E. Wagner High School,2017-18,3284,1651,1633,474,364,883,19,19,1523,90,1865,51.6
31R470,12,18,4,59,50,35,79,69,18,2,0,0,0,2,9,6,Concord High School,2017-18,172,87,85,2,49,76,2,3,40,2,124,74.5
31R600,19,186,28,280,214,195,474,276,5,2,1,1,0,1,0,1,Ralph R. McKee Career and Technical Education High,2017-18,792,164,628,41,212,368,2,3,154,50,547,69.7
31R605,,1,104,6,27,535,374,414,13,13,13,13,0,0,0,0,Staten Island Technical High School,2017-18,1320,590,730,639,10,36,2,5,592,0,555,35.6
32K168,5,3,3,21,17,0,26,17,57,48,45,9,36,3,1,7,The Brooklyn School for Math and Research,2017-18,269,107,162,15,127,109,0,1,11,26,243,82.7
32K403,16,5,1,20,82,1,51,55,15,12,4,0,4,8,0,3,Academy for Excellence in Leadership,2017-18,272,127,145,10,48,204,0,0,10,102,252,91.3
32K545,68,60,7,75,521,8,275,381,94,70,63,2,61,7,10,13,EBC High School for Public Service - Bushwick,2017-18,498,235,263,4,42,439,0,0,11,105,451,91.9
32K549,52,53,3,97,237,1,167,180,57,36,35,1,34,1,12,7,The Brooklyn School for Social Justice,2017-18,364,170,194,4,69,275,1,2,11,118,310,92.1
32K552,69,47,5,112,239,3,193,170,85,50,39,4,35,11,12,21,The Academy of Urban Planning and Engineering,2017-18,197,85,112,2,35,154,0,0,4,51,187.15,91.2
32K554,10,15,6,53,174,1,120,117,5,3,3,0,3,0,2,0,All City Leadership Secondary School,2017-18,435,241,194,31,36,332,0,0,35,7,373,70.8
32K556,58,35,5,54,231,1,122,178,77,48,43,0,43,5,12,11,Bushwick Leaders High School for Academic Excellen,2017-18,281,126,155,2,48,222,0,0,3,75,266.95,92.7
32K564,14,21,2,132,219,4,158,199,173,50,39,0,39,11,61,57,Bushwick Community High School,2017-18,263,126,137,0,81,177,0,0,5,19,226,90.7
